"CLSID","Desc","DLL","CodeBase"
"{00E77DC4-EF94-4DAE-8675-E0CBBBE2DD8D}","DT301DTM DTM","C:\Program Files (x86)\Smar\HART\DTM\DT301DTM\SmarDT301DTM.dll",
"{1C724ACF-5392-441E-ACC2-EB5B571DECB4}","ProfiDTMGate Class","C:\Program Files (x86)\Softing\PROFIdtm\ProfiDTM.dll",
"{1C8EF1EE-D3B4-4D37-A5CC-5DFAECC31564}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\FY500DTM\SmarFY500DTM.dll",
"{328D45D6-2E31-4411-AD20-796FBDCD7034}","TP301DTM DTM","C:\Program Files (x86)\Smar\HART\DTM\TP301DTM\SmarTP301DTM.dll",
"{3407678A-1F31-46F8-93FF-479DE8071747}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\LD1.0DTM\SmarLD1_0DTM.dll",
"{444511DC-1892-47AC-8A11-96B619727C06}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\TT481WDTM\SmarTT481WDTM.dll",
"{4993D104-5009-4FE0-9767-5C87BF5D1FA9}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\DT400WDTM\SmarDT400WDTM.dll",
"{4B4B264C-2D6D-4F8C-9F1F-2986FF015031}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\RD500HDTM\SmarRD500HDTM.dll",
"{4ECD134E-97F7-42CC-8A53-66C6E11FEB2A}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\LD291DTM\SmarLD291DTM.dll",
"{50299458-7B8F-4573-88C4-190B640180E6}","LD400DTM DTM","C:\Program Files (x86)\Smar\HART\DTM\LD400DTM\SmarLD400DTM.dll",
"{542D3C6D-534E-4D90-9D86-CFBF550F4176}","TT301DTM DTM","C:\Program Files (x86)\Smar\HART\DTM\TT301DTM\SmarTT301DTM.dll",
"{5AE26BF7-AA96-42FD-AE98-2329D52350E1}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\HCC301DTM\SmarHCC301DTM.dll",
"{6358CCBF-AA0E-4633-9564-9EEFB7FDE86D}","CWHartFdt.clsDTM","C:\Windows\SysWow64\CWHARTFDT.ocx",
"{6CCBF3E7-E04C-4866-BFBE-75E35B7D3EF1}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\RD400HDTM\SmarRD400HDTM.dll",
"{7205B11B-7F3C-4CA2-94E5-9AB9B6F2F605}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\LD400WDTM\SmarLD400WDTM.dll",
"{7524ED93-4F1A-4C2C-B220-5E329762BF0D}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\FY400DTM\SmarFY400DTM.dll",
"{9A9209FC-DC92-4DD7-ACC6-59E1486D1029}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\TT400DTM\SmarTT400DTM.dll",
"{B4B6B3E7-639D-460B-B9A0-6C7F7EB20010}","LasecHartCommDTM.CommDtm","mscoree.dll","file:///C:/Program Files (x86)/PACTware 5.0/DTM700/JosueLab/LasecHartCommDTM/Dtm/LasecHartCommDTM.DLL"
"{B5F03F82-3587-4EFA-94EF-C0827163F056}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\DF100DTM\SmarDF100DTM.dll",
"{BB98D12E-6CDB-4DCF-9EA6-D88E090F6E54}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\DF116-DF117DTM\SmarDF116CommunicationDTM.dll",
"{BF46B4B5-C48B-40F5-8932-A640D76AA0FF}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\TP400WDTM\SmarTP400WDTM.dll",
"{CFF519F1-D3DF-4384-84BD-C0C0DB0CFC85}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\TT400WDTM\SmarTT400WDTM.dll",
"{D0D55CD6-A01F-4786-8DB2-950B0E886C61}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\RP400WDTM\SmarRP400DTM.dll",
"{DC1E06D6-ED58-4DEA-84E2-1C5797098DD1}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\FY301DTM\SmarFY301DTM.dll",
"{EF34EF99-0829-4ED5-8486-7118F89BEB5A}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\TT421DTM\SmarTT421DTM.dll",
"{F4A426FF-E4DE-49AE-A797-0EC8C307AAA1}","DTMCore Class","C:\Program Files (x86)\Smar\HART\DTM\LD301DTM\SmarLD301DTM.dll",
