"FullName","Length","LastWriteTime"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\axpwshdocvw.DLL","40960","02/05/2006 11:36:00"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\C1.Common.dll","86016","02/03/2007 12:30:40"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\C1.Data.dll","917504","03/04/2009 11:16:12"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\C1.Win.C1FlexGrid.dll","577536","02/03/2007 12:30:40"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\DevExpress.Data.v15.2.dll","5265192","26/07/2018 10:11:50"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\DevExpress.Mvvm.v15.2.dll","488744","01/05/2017 10:39:50"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\DevExpress.Printing.v15.2.Core.dll","3776808","26/07/2018 10:12:00"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\DevExpress.Sparkline.v15.2.Core.dll","78632","26/07/2018 10:12:02"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\DevExpress.Utils.v15.2.dll","8405288","26/07/2018 10:12:02"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\DevExpress.XtraBars.v15.2.dll","5577000","01/05/2017 10:40:00"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\DevExpress.XtraEditors.v15.2.dll","4825384","26/07/2018 10:12:10"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\DevExpress.XtraGrid.v15.2.dll","2907432","26/07/2018 10:12:12"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\DevExpress.XtraLayout.v15.2.dll","1806120","26/07/2018 10:12:12"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\DevExpress.XtraNavBar.v15.2.dll","425768","01/05/2017 10:40:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\DevExpress.XtraPrinting.v15.2.dll","960296","26/07/2018 10:12:14"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\DotNetMagic.DLL","1118208","24/08/2009 12:09:48"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\DotNetZip.dll","495104","05/02/2018 09:49:56"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\Fdt.AppDomainExtension.dll","36744","16/04/2018 11:37:40"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\Fdt.AppDomainExtension.Generated.dll","171400","16/04/2018 11:37:42"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\Fdt.AppDomainExtension.Lib.dll","28040","16/04/2018 11:37:42"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\Fdt.ClrExtension.Clr2Messages.dll","42376","16/04/2018 11:37:44"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\Fdt.ClrExtension.Clr2Proxy.dll","175496","16/04/2018 11:37:44"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\Fdt.ClrExtension.Clr2Surrogate.exe","306568","16/04/2018 11:37:52"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\Fdt.ClrExtension.Clr2Surrogate.exe.config","134","16/04/2018 11:31:16"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\Fdt.ClrExtension.Clr2x64Surrogate.exe","306056","16/04/2018 11:37:52"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\Fdt.ClrExtension.Clr2x64Surrogate.exe.config","134","16/04/2018 11:31:16"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\Fdt.ClrExtension.Clr4Surrogate.exe","310152","16/04/2018 11:37:54"
